date,state,cases,deaths,day,month,year,POP2020,abbr,full_name
2020-01-21,Washington,1,0,21,1,20,7693612,WA,Washington
2020-01-22,Washington,1,0,22,1,20,7693612,WA,Washington
2020-01-23,Washington,1,0,23,1,20,7693612,WA,Washington
2020-01-24,Washington,1,0,24,1,20,7693612,WA,Washington
2020-01-25,Washington,1,0,25,1,20,7693612,WA,Washington
2020-01-26,Washington,1,0,26,1,20,7693612,WA,Washington
2020-01-27,Washington,1,0,27,1,20,7693612,WA,Washington
2020-01-28,Washington,1,0,28,1,20,7693612,WA,Washington
2020-01-29,Washington,1,0,29,1,20,7693612,WA,Washington
2020-01-30,Washington,1,0,30,1,20,7693612,WA,Washington
2020-01-31,Washington,1,0,31,1,20,7693612,WA,Washington
2020-02-01,Washington,1,0,1,2,20,7693612,WA,Washington
2020-02-02,Washington,1,0,2,2,20,7693612,WA,Washington
2020-02-03,Washington,1,0,3,2,20,7693612,WA,Washington
2020-02-04,Washington,1,0,4,2,20,7693612,WA,Washington
2020-02-05,Washington,1,0,5,2,20,7693612,WA,Washington
2020-02-06,Washington,1,0,6,2,20,7693612,WA,Washington
2020-02-07,Washington,1,0,7,2,20,7693612,WA,Washington
2020-02-08,Washington,1,0,8,2,20,7693612,WA,Washington
2020-02-09,Washington,1,0,9,2,20,7693612,WA,Washington
2020-02-10,Washington,1,0,10,2,20,7693612,WA,Washington
2020-02-11,Washington,1,0,11,2,20,7693612,WA,Washington
2020-02-12,Washington,1,0,12,2,20,7693612,WA,Washington
2020-02-13,Washington,1,0,13,2,20,7693612,WA,Washington
2020-02-14,Washington,1,0,14,2,20,7693612,WA,Washington
2020-02-15,Washington,1,0,15,2,20,7693612,WA,Washington
2020-02-16,Washington,1,0,16,2,20,7693612,WA,Washington
2020-02-17,Washington,1,0,17,2,20,7693612,WA,Washington
2020-02-18,Washington,1,0,18,2,20,7693612,WA,Washington
2020-02-19,Washington,1,0,19,2,20,7693612,WA,Washington
2020-02-20,Washington,1,0,20,2,20,7693612,WA,Washington
2020-02-21,Washington,1,0,21,2,20,7693612,WA,Washington
2020-02-22,Washington,1,0,22,2,20,7693612,WA,Washington
2020-02-23,Washington,1,0,23,2,20,7693612,WA,Washington
2020-02-24,Washington,5,0,24,2,20,7693612,WA,Washington
2020-02-25,Washington,5,0,25,2,20,7693612,WA,Washington
2020-02-26,Washington,5,0,26,2,20,7693612,WA,Washington
2020-02-27,Washington,5,0,27,2,20,7693612,WA,Washington
2020-02-28,Washington,7,0,28,2,20,7693612,WA,Washington
2020-02-29,Washington,10,1,29,2,20,7693612,WA,Washington
2020-03-01,Washington,17,3,1,3,20,7693612,WA,Washington
2020-03-02,Washington,23,6,2,3,20,7693612,WA,Washington
2020-03-03,Washington,32,10,3,3,20,7693612,WA,Washington
2020-03-04,Washington,47,11,4,3,20,7693612,WA,Washington
2020-03-05,Washington,75,11,5,3,20,7693612,WA,Washington
2020-03-06,Washington,86,12,6,3,20,7693612,WA,Washington
2020-03-07,Washington,110,16,7,3,20,7693612,WA,Washington
2020-03-08,Washington,141,19,8,3,20,7693612,WA,Washington
2020-03-09,Washington,179,22,9,3,20,7693612,WA,Washington
2020-03-10,Washington,279,24,10,3,20,7693612,WA,Washington
2020-03-11,Washington,338,29,11,3,20,7693612,WA,Washington
2020-03-12,Washington,419,32,12,3,20,7693612,WA,Washington
2020-03-13,Washington,511,37,13,3,20,7693612,WA,Washington
2020-03-14,Washington,609,40,14,3,20,7693612,WA,Washington
2020-03-15,Washington,675,42,15,3,20,7693612,WA,Washington
2020-03-16,Washington,794,48,16,3,20,7693612,WA,Washington
2020-03-17,Washington,908,54,17,3,20,7693612,WA,Washington
2020-03-18,Washington,1026,68,18,3,20,7693612,WA,Washington
2020-03-19,Washington,1228,75,19,3,20,7693612,WA,Washington
2020-03-20,Washington,1404,83,20,3,20,7693612,WA,Washington
2020-03-21,Washington,1655,95,21,3,20,7693612,WA,Washington
2020-03-22,Washington,1844,97,22,3,20,7693612,WA,Washington
2020-03-23,Washington,2101,110,23,3,20,7693612,WA,Washington
2020-03-24,Washington,2469,123,24,3,20,7693612,WA,Washington
2020-03-25,Washington,2585,130,25,3,20,7693612,WA,Washington
2020-03-26,Washington,3208,152,26,3,20,7693612,WA,Washington
2020-03-27,Washington,3770,179,27,3,20,7693612,WA,Washington
2020-03-28,Washington,4311,193,28,3,20,7693612,WA,Washington
2020-03-29,Washington,4897,209,29,3,20,7693612,WA,Washington
2020-03-30,Washington,5180,221,30,3,20,7693612,WA,Washington
2020-03-31,Washington,5293,226,31,3,20,7693612,WA,Washington
2020-04-01,Washington,5589,250,1,4,20,7693612,WA,Washington
2020-04-02,Washington,6586,272,2,4,20,7693612,WA,Washington
2020-04-03,Washington,6967,293,3,4,20,7693612,WA,Washington
2020-04-04,Washington,7499,318,4,4,20,7693612,WA,Washington
2020-04-05,Washington,7985,344,5,4,20,7693612,WA,Washington
2020-04-06,Washington,8385,383,6,4,20,7693612,WA,Washington
2020-04-07,Washington,8683,409,7,4,20,7693612,WA,Washington
2020-04-08,Washington,9098,430,8,4,20,7693612,WA,Washington
2020-04-09,Washington,9609,456,9,4,20,7693612,WA,Washington
2020-04-10,Washington,9888,483,10,4,20,7693612,WA,Washington
2020-04-11,Washington,10227,498,11,4,20,7693612,WA,Washington
2020-04-12,Washington,10414,511,12,4,20,7693612,WA,Washington
2020-04-13,Washington,10547,525,13,4,20,7693612,WA,Washington
2020-04-14,Washington,10711,552,14,4,20,7693612,WA,Washington
2020-04-15,Washington,10806,572,15,4,20,7693612,WA,Washington
2020-04-16,Washington,11180,588,16,4,20,7693612,WA,Washington
2020-04-17,Washington,11479,610,17,4,20,7693612,WA,Washington
2020-04-18,Washington,11850,629,18,4,20,7693612,WA,Washington
2020-04-19,Washington,11864,637,19,4,20,7693612,WA,Washington
2020-04-20,Washington,12255,661,20,4,20,7693612,WA,Washington
2020-04-21,Washington,12410,683,21,4,20,7693612,WA,Washington
2020-04-22,Washington,12606,696,22,4,20,7693612,WA,Washington
2020-04-23,Washington,12981,717,23,4,20,7693612,WA,Washington
2020-04-24,Washington,13197,731,24,4,20,7693612,WA,Washington
2020-04-25,Washington,13565,743,25,4,20,7693612,WA,Washington
2020-04-26,Washington,13744,757,26,4,20,7693612,WA,Washington
2020-04-27,Washington,13958,771,27,4,20,7693612,WA,Washington
