abbr,fully_vaccinated,full_name,curr_pop,percent
AK,475873,Alaska,731158,65.08
AL,2604726,Alabama,4921532,52.93
AR,1714777,Arkansas,3030522,56.58
AZ,4800233,Arizona,7421401,64.68
CA,29477685,California,39368078,74.88
CO,4227859,Colorado,5807719,72.8
CT,2958372,Connecticut,3557006,83.17
DC,636441,District of Columbia,712816,89.29
DE,713084,Delaware,986809,72.26
FL,14891239,Florida,21733312,68.52
GA,6074625,Georgia,10710017,56.72
HI,1152817,Hawaii,1407006,81.93
IA,2028323,Iowa,3163561,64.12
ID,1007645,Idaho,1826913,55.16
IL,9021295,Illinois,12587530,71.67
IN,3882476,Indiana,6754953,57.48
KS,1900513,Kansas,2913805,65.22
KY,2661336,Kentucky,4477251,59.44
LA,2555520,Louisiana,4645318,55.01
MA,5798723,Massachusetts,6893574,84.12
MD,4812669,Maryland,6055802,79.47
ME,1118433,Maine,1350141,82.84
MI,6218243,Michigan,9966555,62.39
MN,4062341,Minnesota,5657342,71.81
MO,3620874,Missouri,6151548,58.86
MS,1596152,Mississippi,2966786,53.8
MT,631528,Montana,1080577,58.44
NC,7033372,North Carolina,10600823,66.35
ND,446347,North Dakota,765309,58.32
NE,1280112,Nebraska,1937552,66.07
NH,976466,New Hampshire,1366275,71.47
NJ,7022359,New Jersey,8882371,79.06
NM,1574301,New Mexico,2106319,74.74
NV,1960085,Nevada,3138259,62.46
NY,15696752,New York,19336776,81.18
OH,7058181,Ohio,11693217,60.36
OK,2390776,Oklahoma,3980783,60.06
OR,3048523,Oregon,4241507,71.87
PA,9372130,Pennsylvania,12783254,73.32
PR,2681982,Puerto Rico,3159343,84.89
RI,928263,Rhode Island,1057125,87.81
SC,3080272,South Carolina,5218040,59.03
SD,585683,South Dakota,892717,65.61
TN,3840018,Tennessee,6886834,55.76
TX,18314677,Texas,29360759,62.38
UT,2134941,Utah,3249879,65.69
VA,6529788,Virginia,8590563,76.01
VT,534086,Vermont,623347,85.68
WA,5782654,Washington,7693612,75.16
WI,3965685,Wisconsin,5832655,67.99
WV,1068944,West Virginia,1784787,59.89
WY,306661,Wyoming,582328,52.66
